2013-09-08 16:06:28 Debug: Notice (8): Undefined variable: Video in [APP\views\elements\header.ctp, line 8]
2013-09-08 16:06:28 Debug: Notice (8): Undefined variable: scripts_for_layout in [APP\views\elements\header.ctp, line 15]
2013-09-08 16:06:28 Debug: Notice (8): Undefined variable: page in [APP\controllers\users_controller.php, line 367]
2013-09-08 16:06:37 Debug: Notice (8): Undefined index: User in [APP\controllers\users_controller.php, line 117]
2013-09-08 16:06:37 Debug: Notice (8): Undefined index: User in [APP\controllers\users_controller.php, line 133]
2013-09-08 16:06:37 Debug: Notice (8): Undefined variable: Video in [APP\views\elements\header.ctp, line 8]
2013-09-08 16:06:37 Debug: Notice (8): Undefined variable: scripts_for_layout in [APP\views\elements\header.ctp, line 15]
2013-09-08 16:06:37 Debug: Notice (8): Undefined variable: page in [APP\controllers\users_controller.php, line 367]
2013-09-08 16:07:07 Debug: Notice (8): Undefined index: User in [APP\controllers\users_controller.php, line 117]
2013-09-08 16:07:07 Debug: Notice (8): Undefined index: User in [APP\controllers\users_controller.php, line 133]
2013-09-08 16:07:07 Debug: Notice (8): Undefined variable: Video in [APP\views\elements\header.ctp, line 8]
2013-09-08 16:07:07 Debug: Notice (8): Undefined variable: scripts_for_layout in [APP\views\elements\header.ctp, line 15]
2013-09-08 16:07:07 Debug: Notice (8): Undefined variable: page in [APP\controllers\users_controller.php, line 367]
2013-09-08 16:19:33 Debug: Notice (8): Undefined variable: Video in [APP\views\elements\header.ctp, line 8]
2013-09-08 16:19:33 Debug: Notice (8): Undefined variable: scripts_for_layout in [APP\views\elements\header.ctp, line 15]
2013-09-08 16:19:33 Debug: Notice (8): Undefined variable: page in [APP\controllers\users_controller.php, line 429]
2013-09-08 16:22:59 Debug: Notice (8): Undefined variable: Video in [APP\views\elements\header.ctp, line 8]
2013-09-08 16:22:59 Debug: Notice (8): Undefined variable: scripts_for_layout in [APP\views\elements\header.ctp, line 15]
2013-09-08 16:22:59 Debug: Notice (8): Undefined variable: page in [APP\controllers\users_controller.php, line 429]
2013-09-08 16:23:05 Debug: Notice (8): Undefined variable: Video in [APP\views\elements\header.ctp, line 8]
2013-09-08 16:23:05 Debug: Notice (8): Undefined variable: scripts_for_layout in [APP\views\elements\header.ctp, line 15]
2013-09-08 16:23:05 Debug: Notice (8): Undefined variable: page in [APP\controllers\users_controller.php, line 429]
2013-09-08 16:30:43 Debug: Notice (8): Undefined variable: Video in [APP\views\elements\header.ctp, line 8]
2013-09-08 16:30:43 Debug: Notice (8): Undefined variable: scripts_for_layout in [APP\views\elements\header.ctp, line 15]
2013-09-08 16:30:44 Debug: Notice (8): Undefined variable: page in [APP\controllers\users_controller.php, line 422]
2013-09-08 16:30:46 Debug: Notice (8): Undefined variable: Video in [APP\views\elements\header.ctp, line 8]
2013-09-08 16:30:46 Debug: Notice (8): Undefined variable: scripts_for_layout in [APP\views\elements\header.ctp, line 15]
2013-09-08 16:30:46 Debug: Notice (8): Undefined variable: page in [APP\controllers\users_controller.php, line 422]
2013-09-08 16:31:27 Debug: Notice (8): Undefined variable: Video in [APP\views\elements\header.ctp, line 8]
2013-09-08 16:31:27 Debug: Notice (8): Undefined variable: scripts_for_layout in [APP\views\elements\header.ctp, line 15]
2013-09-08 16:31:27 Debug: Notice (8): Undefined variable: page in [APP\controllers\users_controller.php, line 422]
2013-09-08 16:31:59 Debug: Notice (8): Undefined index: User in [APP\controllers\users_controller.php, line 73]
2013-09-08 16:31:59 Debug: Notice (8): Undefined index: User in [APP\controllers\users_controller.php, line 77]
2013-09-08 16:31:59 Debug: Notice (8): Undefined variable: Video in [APP\views\elements\header.ctp, line 8]
2013-09-08 16:31:59 Debug: Notice (8): Undefined variable: scripts_for_layout in [APP\views\elements\header.ctp, line 15]
2013-09-08 16:31:59 Debug: Notice (8): Undefined variable: page in [APP\controllers\users_controller.php, line 422]
